CO_FRAC_RA,x,y,plata,tiemposMin,POB
12_4_2,-58.47920124,-34.54455081,13.5,51.66666667,391
12_4_3,-58.47709833,-34.54515335,13.5,49.73333333,573
12_4_4,-58.4780827,-34.54233806,13.5,49.58333333,488
12_4_5,-58.47625263,-34.54094203,13.5,46.78333333,304
12_4_6,-58.47506972,-34.54351087,13.5,47.2,376
12_4_7,-58.47288091,-34.54327959,13.75,45.28333333,524
12_4_8,-58.47424693,-34.54515251,13.5,45.51666667,393
12_4_9,-58.47389696,-34.54695631,13.5,46.1,290
12_5_1,-58.47547349,-34.54948434,13.5,48.96666667,309
12_5_10,-58.47487261,-34.55144271,13.5,49.8,374
12_5_11,-58.47251322,-34.55145107,7.5,46.93333333,427
12_5_2,-58.47295205,-34.54882666,13.5,46.13333333,344
12_5_3,-58.47092736,-34.54847652,7.5,45.46666667,811
12_5_4,-58.47239646,-34.54644479,13.75,45.51666667,321
12_5_5,-58.47111799,-34.54605096,13.75,42.81666667,353
12_5_6,-58.46968081,-34.54783974,13.5,40.56666667,353
12_5_7,-58.46923456,-34.5496577,7.5,42.26666667,433
12_5_8,-58.47033348,-34.55027995,7.5,43.91666667,514
12_5_9,-58.47282358,-34.55045316,7.5,47.63333333,401
12_6_1,-58.48415947,-34.55579291,13.75,56.68333333,392
12_6_10,-58.48272911,-34.55777798,13.75,52.55,386
12_6_2,-58.48266219,-34.55446271,13.75,56.23333333,442
12_6_3,-58.48080815,-34.55358741,13.75,58.71666667,350
12_6_4,-58.47763987,-34.55259517,13.5,51.58333333,464
12_6_5,-58.4781546,-34.55448732,13.5,50.5,518
12_6_6,-58.47484028,-34.55383239,7.5,49.05,524
12_6_7,-58.47682773,-34.55532829,13.5,48.61666667,395
12_6_8,-58.47864974,-34.55634272,13.75,49.83333333,373
12_6_9,-58.4809083,-34.55677525,13.75,51.65,369
12_7_1,-58.47639366,-34.55686358,13.75,53.26666667,439
12_7_10,-58.46976903,-34.56381193,7.5,46.41666667,598
12_7_2,-58.47366666,-34.55540518,7.5,46.35,430
12_7_3,-58.47100898,-34.55752845,7.5,42.7,424
12_7_4,-58.47193628,-34.55853796,7.5,43.63333333,477
12_7_5,-58.47426948,-34.55837464,7.5,46.01666667,373
12_7_6,-58.47436756,-34.55983753,13.75,46.16666667,452
12_7_7,-58.47173433,-34.56183568,7.5,43.4,435
12_7_8,-58.46908283,-34.56084125,7.5,40.2,431
12_7_9,-58.46773704,-34.56254544,7.5,43.33333333,682
12_8_1,-58.4802425,-34.55946657,13.75,55.86666667,805
12_8_10,-58.47707111,-34.56538245,11.5,49.96666667,343
12_8_11,-58.47552815,-34.56651514,13.75,55.33333333,316
12_8_2,-58.4781616,-34.55994786,13.75,54.05,391
12_8_3,-58.47667795,-34.56158088,13.75,48.98333333,437
12_8_4,-58.47886547,-34.56297674,13.75,54.61666667,401
12_8_5,-58.47620929,-34.56398419,13.75,46.85,334
12_8_6,-58.47422444,-34.56220977,13.75,45.83333333,414
12_8_7,-58.47389057,-34.563738,13.75,47.73333333,449
12_8_8,-58.47170253,-34.56499431,13.75,49.36666667,562
12_8_9,-58.47412949,-34.56577,13.75,49.61666667,480
12_9_1,-58.49646455,-34.56510066,7.5,47.91666667,463
12_9_2,-58.49547859,-34.56647528,7.5,45.66666667,552
12_9_3,-58.49264775,-34.56371948,7.5,48.56666667,516
12_9_4,-58.49179668,-34.56571404,7.5,44.61666667,544
12_9_5,-58.48820591,-34.56415087,7.5,48.88333333,463
12_9_6,-58.48800732,-34.56286682,7.5,51.33333333,517
12_9_7,-58.48389623,-34.56157685,13.75,53.53333333,431
13_1_1,-58.47298617,-34.53939955,13.5,47.83333333,355
13_1_10,-58.46991442,-34.53979311,13.5,49.36666667,332
13_1_11,-58.47203228,-34.54118762,13.5,46.35,318
13_1_12,-58.47164768,-34.54237278,13.5,46.78333333,270
13_1_13,-58.46987114,-34.54314859,13.5,46.23333333,310
13_1_14,-58.47012624,-34.54410141,13.5,44.55,282
13_1_2,-58.47040371,-34.53814192,11.5,46.01666667,380
13_1_3,-58.46820215,-34.53761153,11.5,44.58333333,261
13_1_4,-58.46641826,-34.53737527,11.5,45.71666667,459
13_1_5,-58.46606395,-34.53783581,11.5,45.71666667,512
13_1_6,-58.46484846,-34.54045342,13.75,54.78333333,497
13_1_7,-58.46702174,-34.5412846,13.75,50.66666667,241
13_1_8,-58.46879015,-34.54132041,13.75,49.78333333,263
13_1_9,-58.46934286,-34.54056391,13.5,49.1,222
13_10_1,-58.45593466,-34.55429562,7.5,38.51666667,516
13_10_10,-58.44996407,-34.55730535,7.5,37.96666667,489
13_10_11,-58.44850428,-34.55655686,7.5,41.38333333,344
13_10_2,-58.45471862,-34.55402123,7.5,39.95,524
13_10_3,-58.45283682,-34.55219083,7.5,43.23333333,567
13_10_4,-58.45045739,-34.55428816,7.5,44.38333333,578
13_10_5,-58.45201161,-34.55455292,7.5,42.81666667,322
13_10_6,-58.45266682,-34.55605879,7.5,41.1,484
13_10_7,-58.45296673,-34.55733958,7.5,38.21666667,345
13_10_8,-58.45142995,-34.55901903,7.5,34.55,428
13_10_9,-58.45082889,-34.55820875,7.5,36.13333333,325
13_11_1,-58.44192935,-34.5436273,9.5,41.5,271
13_11_2,-58.4454725,-34.54832448,9.5,39.05,348
13_11_3,-58.45166906,-34.54973499,7.5,48.11666667,251
13_11_4,-58.45092741,-34.55141885,7.5,46.66666667,285
13_11_5,-58.4489734,-34.55163631,7.5,48.9,260
13_11_6,-58.44658178,-34.55189082,7.5,50.11666667,540
13_11_7,-58.44579276,-34.55283721,7.5,48.56666667,384
13_12_1,-58.44681626,-34.55555542,7.5,42.81666667,338
13_12_10,-58.43935775,-34.55960483,7.5,47.01666667,293
13_12_2,-58.44447345,-34.55344044,7.5,47.85,446
13_12_3,-58.44381629,-34.5551718,7.5,46.25,334
13_12_4,-58.44170728,-34.55351026,7.5,48.91666667,458
13_12_5,-58.43801714,-34.55147349,9.5,37.11666667,342
13_12_6,-58.43876623,-34.55480846,7.5,52.25,294
13_12_7,-58.43998659,-34.55601915,7.5,50.1,473
13_12_8,-58.4436173,-34.5568714,7.5,46.01666667,323
13_12_9,-58.44232277,-34.55790276,7.5,45.93333333,516
13_13_1,-58.44938986,-34.5601555,7.5,37.13333333,446
13_13_10,-58.44816832,-34.56278775,7.5,33.2,403
13_13_11,-58.4469111,-34.56345795,7.5,32.68333333,268
13_13_12,-58.44500489,-34.56236783,7.5,35.33333333,426
13_13_13,-58.44424343,-34.56073066,7.5,43.63333333,640
13_13_14,-58.44288774,-34.5610731,7.5,45.63333333,407
13_13_2,-58.44868294,-34.55876311,7.5,41.35,160
13_13_3,-58.44676564,-34.55765552,7.5,42.38333333,368
13_13_4,-58.44674014,-34.55905654,7.5,41.2,466
13_13_5,-58.4453404,-34.55825355,7.5,43.25,452
13_13_6,-58.44452314,-34.5592066,7.5,42.78333333,140
13_13_7,-58.44571202,-34.55986985,7.5,40.83333333,333
13_13_8,-58.44735289,-34.56132635,7.5,36.75,298
13_13_9,-58.44726298,-34.56225193,7.5,34.68333333,311
13_14_1,-58.45410997,-34.56061594,7.5,30.83333333,353
13_14_10,-58.45158961,-34.56196377,7.5,33.35,302
13_14_11,-58.450698,-34.56143588,7.5,34.53333333,384
13_14_2,-58.4532135,-34.56008172,7.5,32.03333333,179
13_14_3,-58.45232662,-34.55955247,7.5,33.16666667,330
13_14_4,-58.4515062,-34.56050317,7.5,33.03333333,331
13_14_5,-58.45239441,-34.56103086,7.5,31.96666667,240
13_14_6,-58.45478606,-34.56185165,7.5,29.53333333,321
13_14_7,-58.45436647,-34.56360877,7.5,29.95,159
13_14_8,-58.4534029,-34.56303784,7.5,31.13333333,273
13_14_9,-58.45248859,-34.56249616,7.5,32.26666667,198
13_15_1,-58.45873188,-34.56191597,7.5,30.85,395
13_15_10,-58.45629666,-34.56474832,7.5,30.71666667,311
13_15_11,-58.45718901,-34.5652741,7.5,31.96666667,396
13_15_12,-58.4580799,-34.56579954,7.5,33.26666667,338
13_15_2,-58.45738862,-34.56183486,7.5,28.11666667,328
13_15_3,-58.45837388,-34.56311478,7.5,29.76666667,322
13_15_4,-58.45971214,-34.56390493,7.5,31.53333333,201
13_15_5,-58.46063824,-34.56445095,7.5,32.81666667,427
13_15_6,-58.45981851,-34.56539797,7.5,33,317
13_15_7,-58.45889463,-34.56485294,7.5,31.7,386
13_15_8,-58.45800339,-34.56432683,7.5,30.5,361
13_15_9,-58.45619118,-34.56374476,7.5,29.46666667,426
13_16_1,-58.46332106,-34.56053894,7.5,38.08333333,431
13_16_10,-58.45997475,-34.56125274,7.5,33.05,437
13_16_11,-58.45962298,-34.56244389,7.5,32.16666667,374
13_16_12,-58.46051566,-34.56297101,7.5,33.41666667,375
13_16_13,-58.46144355,-34.56351844,7.5,34.7,268
13_16_2,-58.4615035,-34.5594754,7.5,35.48333333,446
13_16_3,-58.45930022,-34.55960917,7.5,32.78333333,279
13_16_4,-58.46033066,-34.56004922,7.5,34.06666667,391
13_16_5,-58.46122548,-34.56057843,7.5,35.3,268
13_16_6,-58.46211983,-34.56110901,7.5,36.53333333,219
13_16_7,-58.46304967,-34.56166018,7.5,37.81666667,376
13_16_8,-58.46224207,-34.56259575,7.5,36.2,269
13_16_9,-58.46131328,-34.56204583,7.5,34.91666667,428
13_17_1,-58.46538491,-34.56172117,7.5,40.85,577
13_17_10,-58.46214455,-34.56534377,7.5,34.93333333,461
13_17_11,-58.46369182,-34.56626041,7.5,37.08333333,276
13_17_2,-58.4639692,-34.56271254,7.5,38.93333333,592
13_17_3,-58.46452464,-34.56364502,7.5,39.31666667,434
13_17_4,-58.46529532,-34.56440424,7.5,40.6,300
13_17_5,-58.46658774,-34.5638308,7.5,42.18333333,373
13_17_6,-58.46637131,-34.56504195,7.5,42.1,371
13_17_7,-58.46519744,-34.56632168,7.5,38.91666667,438
13_17_8,-58.46450067,-34.56532523,7.5,39.1,371
13_17_9,-58.46295341,-34.56441101,7.5,36.81666667,513
13_18_1,-58.47094104,-34.56751513,13.75,55.03333333,450
13_18_10,-58.46370188,-34.57327407,7.5,43.2,344
13_18_2,-58.47009956,-34.56597111,13.5,50.25,488
13_18_3,-58.46790165,-34.5658036,7.5,44.21666667,496
13_18_4,-58.46817984,-34.56726115,7.5,45.6,327
13_18_5,-58.4688543,-34.56869558,13.5,49.65,327
13_18_6,-58.46885714,-34.56994999,13.5,47.06666667,370
13_18_7,-58.46575797,-34.56836757,7.5,41.83333333,475
13_18_8,-58.46307365,-34.57127812,7.5,42.13333333,339
13_18_9,-58.46672104,-34.57160535,13.5,46.25,203
13_19_1,-58.46342953,-34.56753512,7.5,38.08333333,376
13_19_10,-58.45800865,-34.56897341,7.5,33.68333333,344
13_19_11,-58.45904477,-34.56893173,7.5,37.11666667,218
13_19_12,-58.45908498,-34.5706407,7.5,36.53333333,292
13_19_2,-58.46183787,-34.56659152,7.5,35.83333333,462
13_19_3,-58.46080774,-34.56598246,7.5,34.48333333,335
13_19_4,-58.45999057,-34.5669265,7.5,35.83333333,246
13_19_5,-58.46209499,-34.56817043,7.5,40.53333333,351
13_19_6,-58.46233932,-34.56970102,7.5,39.78333333,234
13_19_7,-58.46081381,-34.57078909,7.5,39.03333333,361
13_19_8,-58.46073678,-34.56876429,7.5,37.35,325
13_19_9,-58.45918977,-34.56785182,7.5,35.2,340
13_2_1,-58.46927198,-34.54613878,13.75,43.75,559
13_2_10,-58.46147106,-34.54574773,11.5,45.46666667,547
13_2_2,-58.46775114,-34.54445847,13.75,47.06666667,445
13_2_3,-58.46717384,-34.54611653,13.5,43.8,275
13_2_4,-58.4654476,-34.54432223,13.5,47.83333333,329
13_2_6,-58.46155725,-34.54436547,7.5,51.68333333,566
13_2_7,-58.46314442,-34.54493848,11.5,46.26666667,334
13_2_8,-58.46647261,-34.54714319,7.5,44.33333333,308
13_2_9,-58.46547448,-34.54763673,7.5,44.01666667,528
13_20_1,-58.45900213,-34.56634302,7.5,34.48333333,285
13_20_10,-58.45495583,-34.56786887,7.5,28.86666667,269
13_20_11,-58.4540563,-34.5673428,7.5,28.55,317
13_20_12,-58.45288363,-34.56668876,7.5,26.21666667,265
13_20_2,-58.45820579,-34.56726424,7.5,33.85,437
13_20_3,-58.45726959,-34.56673922,7.5,32.56666667,205
13_20_4,-58.45637877,-34.56621478,7.5,31.26666667,339
13_20_5,-58.45499468,-34.56540011,7.5,29.43333333,325
13_20_6,-58.45418034,-34.56625265,7.5,28.01666667,427
13_20_7,-58.45607491,-34.56735049,7.5,30.78333333,428
13_20_8,-58.45713318,-34.56850422,7.5,31.85,424
13_20_9,-58.45584928,-34.56839223,7.5,30.43333333,277
13_21_1,-58.45270875,-34.56494573,7.5,28.1,260
13_21_10,-58.44871524,-34.56452025,7.5,29.96666667,385
13_21_2,-58.45258984,-34.56398067,7.5,29.91666667,142
13_21_3,-58.45167552,-34.56343963,7.5,30.93333333,249
13_21_4,-58.4507759,-34.56290744,7.5,32.16666667,363
13_21_5,-58.44988149,-34.56237854,7.5,33.45,400
13_21_6,-58.44906904,-34.56332051,7.5,31.9,323
13_21_7,-58.44996507,-34.56384975,7.5,30.58333333,487
13_21_8,-58.45086448,-34.5643803,7.5,29.5,337
13_21_9,-58.45079844,-34.56563786,7.5,26.9,382
13_22_1,-58.44891207,-34.56703508,7.5,30.43333333,258
13_22_2,-58.44966809,-34.56610722,7.5,28.35,235
13_22_3,-58.44895149,-34.56656063,7.5,29.21666667,221
13_22_4,-58.44746596,-34.56518359,7.5,31.73333333,420
13_22_5,-58.44573992,-34.56521791,7.5,32.08333333,503
13_22_6,-58.44436352,-34.56337192,7.5,36.08333333,479
13_22_7,-58.44346492,-34.56424069,7.5,33.28333333,526
13_22_8,-58.44200726,-34.56283236,7.5,37.51666667,379
13_22_9,-58.44311752,-34.56270075,7.5,38.35,251
13_23_1,-58.4520626,-34.57119032,7.5,35.06666667,642
13_23_10,-58.45105694,-34.56926175,7.5,31,258
13_23_11,-58.45026229,-34.56824732,7.5,29.41666667,445
13_23_2,-58.45501303,-34.56908865,7.5,31.98333333,272
13_23_3,-58.45380936,-34.56873727,7.5,29.55,540
13_23_4,-58.45308042,-34.56811746,7.5,28.35,293
13_23_5,-58.45212465,-34.56731295,7.5,27.03333333,254
13_23_6,-58.45114881,-34.567751,7.5,28.33333333,341
13_23_7,-58.45193661,-34.56875538,7.5,29.85,277
13_23_8,-58.45250179,-34.56947609,7.5,31.18333333,575
13_23_9,-58.45118027,-34.57023987,7.5,33.65,523
13_24_1,-58.46032457,-34.57485435,7.5,41.3,198
13_24_10,-58.45312304,-34.57241242,7.5,38.23333333,392
13_24_2,-58.45991249,-34.57384708,7.5,39.83333333,277
13_24_3,-58.45875751,-34.57320406,7.5,39.51666667,300
13_24_4,-58.45732934,-34.57122251,7.5,36.51666667,374
13_24_5,-58.45631758,-34.57207034,7.5,37.73333333,355
13_24_6,-58.45790324,-34.57465691,7.5,42.11666667,396
13_24_7,-58.45676017,-34.57565551,7.5,44.41666667,514
13_24_8,-58.45544748,-34.57328095,7.5,40.18333333,396
13_24_9,-58.45461283,-34.57479589,7.5,41.46666667,512
13_25_1,-58.46112518,-34.57573348,7.5,40.46666667,297
13_25_2,-58.46007604,-34.57703243,7.5,41.18333333,384
13_25_3,-58.45765868,-34.57692493,7.5,40.48333333,438
13_25_4,-58.45738759,-34.57792517,7.5,38.6,352
13_25_5,-58.45539216,-34.57814169,7.5,38.85,307
13_25_6,-58.45352135,-34.57843099,7.5,38.45,390
13_25_7,-58.45309701,-34.57945567,7.5,36.25,627
13_25_8,-58.4509124,-34.57973114,7.5,35.98333333,391
13_26_1,-58.45298371,-34.57668364,7.5,40.68333333,415
13_26_10,-58.44877047,-34.57453453,7.5,32.86666667,511
13_26_11,-58.44771201,-34.57500367,7.5,32.06666667,351
13_26_2,-58.45211033,-34.57431905,7.5,38,404
13_26_3,-58.4502555,-34.57310923,7.5,34.9,393
13_26_4,-58.45026701,-34.57449042,7.5,35.21666667,525
13_26_5,-58.45120411,-34.57604754,7.5,37.65,374
13_26_6,-58.45043472,-34.57765208,7.5,38.08333333,351
13_26_7,-58.44966261,-34.57862435,7.5,37.36666667,236
13_26_8,-58.44913489,-34.57766624,7.5,35.96666667,214
13_26_9,-58.44907437,-34.57647552,7.5,34.4,264
13_27_1,-58.45019394,-34.5697582,7.5,32.43333333,202
13_27_2,-58.44939733,-34.56873013,7.5,30.75,432
13_27_3,-58.4485089,-34.56920687,7.5,29.61666667,498
13_27_4,-58.44940674,-34.57089408,7.5,30.98333333,469
13_27_5,-58.44842286,-34.57077124,7.5,29.86666667,306
13_27_6,-58.44754653,-34.56972419,7.5,28.06666667,542
13_27_7,-58.44735532,-34.57090411,7.5,28.16666667,538
13_27_8,-58.4470419,-34.57196592,7.5,28.71666667,408
13_27_9,-58.44604326,-34.57057241,7.5,26.48333333,423
13_28_1,-58.44607886,-34.5724469,7.5,27.8,285
13_28_10,-58.44118694,-34.57269555,7.5,28.83333333,311
13_28_2,-58.44518145,-34.57101795,7.5,25.6,210
13_28_3,-58.44424569,-34.57150123,7.5,25.31666667,363
13_28_4,-58.44501674,-34.57276562,7.5,27.28333333,215
13_28_5,-58.44454127,-34.57437622,7.5,32.55,292
13_28_6,-58.44336027,-34.57383367,7.5,30.28333333,422
13_28_7,-58.4420025,-34.57352905,7.5,29.61666667,356
13_28_8,-58.44328141,-34.5726832,7.5,27.98333333,470
13_28_9,-58.4425933,-34.57185312,7.5,27.13333333,414
13_29_1,-58.44833488,-34.5798753,7.5,36.96666667,351
13_29_10,-58.44539825,-34.58186759,7.5,36.18333333,382
13_29_11,-58.4428771,-34.57989424,7.5,37.65,458
13_29_2,-58.44895028,-34.57959209,7.5,36.06666667,327
13_29_3,-58.44783183,-34.57765443,7.5,36.38333333,294
13_29_4,-58.44661624,-34.57658172,7.5,35.61666667,439
13_29_5,-58.44581713,-34.57509883,7.5,33.46666667,311
13_29_6,-58.44428172,-34.57644006,7.5,34.7,400
13_29_7,-58.44694146,-34.57962754,7.5,38.4,460
13_29_8,-58.4455316,-34.57949652,7.5,39.25,566
13_29_9,-58.44573457,-34.58249905,7.5,35.3,250
13_3_1,-58.46217261,-34.54811805,7.5,44.75,485
13_3_10,-58.45397681,-34.55034828,7.5,47.8,567
13_3_2,-58.45785114,-34.53871997,11.5,60.1,393
13_3_3,-58.45967166,-34.54759002,7.5,46.23333333,453
13_3_4,-58.45693567,-34.548076,7.5,46.45,576
13_3_5,-58.45984317,-34.54918281,7.5,43.56666667,413
13_3_6,-58.45881686,-34.55029573,7.5,41.28333333,333
13_3_7,-58.45793582,-34.55203992,7.5,42.55,353
13_3_8,-58.45625623,-34.55221044,7.5,42.83333333,344
13_3_9,-58.45556343,-34.55094739,7.5,44.91666667,516
13_4_1,-58.46625134,-34.54926981,7.5,40.51666667,314
13_4_10,-58.46296957,-34.55418108,7.5,32.16666667,237
13_4_11,-58.46134522,-34.55336868,7.5,34.5,458
13_4_12,-58.45930593,-34.55330315,7.5,34.48333333,811
13_4_13,-58.46073436,-34.55453802,7.5,32.05,312
13_4_14,-58.46182941,-34.55509948,7.5,30.7,355
13_4_2,-58.4641168,-34.54850357,7.5,42.73333333,425
13_4_3,-58.46518321,-34.54981924,7.5,40.55,326
13_4_4,-58.4642656,-34.55042213,7.5,38.86666667,489
13_4_5,-58.46465973,-34.55219325,7.5,36.08333333,389
13_4_6,-58.46296677,-34.5508353,7.5,38.83333333,466
13_4_7,-58.46293814,-34.55187876,7.5,36.35,381
13_4_8,-58.46133651,-34.55175546,7.5,37.73333333,313
13_4_9,-58.46330961,-34.55311322,7.5,34.08333333,384
13_5_1,-58.47241377,-34.55393046,7.5,45.5,432
13_5_2,-58.47126994,-34.55223737,7.5,44.31666667,601
13_5_3,-58.46856809,-34.5507378,7.5,40.75,628
13_5_4,-58.46782501,-34.55167709,7.5,38.91666667,536
13_5_5,-58.47025283,-34.55354827,7.5,41.56666667,457
13_5_6,-58.46718251,-34.55244554,7.5,37.63333333,538
13_5_7,-58.46529135,-34.55332219,7.5,34.26666667,406
13_5_8,-58.46631845,-34.55386853,7.5,35.53333333,529
13_6_1,-58.4683284,-34.55440215,7.5,38.5,318
13_6_2,-58.47013721,-34.55634117,7.5,41.2,575
13_6_3,-58.46827414,-34.55649144,7.5,38.31666667,494
13_6_4,-58.46643112,-34.5553128,7.5,35.98333333,508
13_6_5,-58.46432898,-34.55490722,7.5,32.56666667,527
13_6_6,-58.46330895,-34.55588097,7.5,30.88333333,387
13_6_7,-58.4655596,-34.55659087,7.5,34,519
13_6_8,-58.46753672,-34.55809957,7.5,36.66666667,398
13_7_1,-58.46688982,-34.55965094,7.5,37.78333333,379
13_7_2,-58.4652985,-34.55822706,7.5,34.33333333,253
13_7_3,-58.46298906,-34.55700424,7.5,30.75,511
13_7_4,-58.46186429,-34.55748666,7.5,31.6,377
13_7_5,-58.46121595,-34.55820995,7.5,32.96666667,548
13_7_6,-58.46291144,-34.5586114,7.5,34.48333333,427
13_7_7,-58.46383059,-34.55912089,7.5,35.8,411
13_7_8,-58.46476191,-34.55964087,7.5,37.08333333,375
13_7_9,-58.46584643,-34.56083675,7.5,39.18333333,441
13_8_1,-58.46092255,-34.55609212,7.5,30.53333333,367
13_8_10,-58.46007705,-34.55703613,7.5,32.11666667,317
13_8_2,-58.45987508,-34.55553852,7.5,31.93333333,328
13_8_3,-58.4585447,-34.55549691,7.5,34.56666667,486
13_8_4,-58.4575707,-34.5548695,7.5,36.35,523
13_8_5,-58.45545458,-34.5559944,7.5,39.11666667,587
13_8_6,-58.45644425,-34.55634764,7.5,37.76666667,346
13_8_7,-58.45735118,-34.55687696,7.5,36.43333333,386
13_8_8,-58.45878372,-34.55770785,7.5,34.53333333,515
13_8_9,-58.45906656,-34.55647927,7.5,33.4,337
13_9_1,-58.45564603,-34.55726745,7.5,37.11666667,369
13_9_10,-58.4563422,-34.56050233,7.5,30.35,288
13_9_2,-58.4570024,-34.55807436,7.5,35.03333333,360
13_9_3,-58.45840987,-34.55890992,7.5,33.15,275
13_9_4,-58.45760106,-34.55984609,7.5,31.65,324
13_9_5,-58.45619348,-34.55901029,7.5,33.46666667,580
13_9_6,-58.45438988,-34.5579378,7.5,35.75,358
13_9_7,-58.45314606,-34.55860167,7.5,34.98333333,345
13_9_8,-58.45403433,-34.5591311,7.5,33.61666667,407
13_9_9,-58.45493206,-34.55966516,7.5,32.36666667,405
14_1_1,-58.4476805,-34.56822577,7.5,28.7,207
14_1_10,-58.43987324,-34.56673095,7.5,30.15,535
14_1_2,-58.44671063,-34.56874392,7.5,27.21666667,300
14_1_3,-58.44597265,-34.56851133,7.5,27.1,406
14_1_4,-58.44576514,-34.56708639,7.5,29.23333333,414
14_1_5,-58.44486049,-34.56879819,7.5,26.41666667,649
14_1_6,-58.44371731,-34.56916282,7.5,25.41666667,508
14_1_7,-58.44291567,-34.56963935,7.5,24.85,397
14_1_8,-58.44270679,-34.56700017,7.5,28.5,397
14_1_9,-58.44077421,-34.56600766,7.5,31.01666667,464
14_10_1,-58.41704601,-34.56852748,7.5,42.81666667,15
14_10_2,-58.41900117,-34.56030614,6.5,80.58333333,0
14_11_1,-58.42443916,-34.57714065,7.5,21.41666667,556
14_11_10,-58.42371729,-34.57887588,7.5,21.36666667,287
14_11_11,-58.42279037,-34.57944355,7.5,19.66666667,327
14_11_12,-58.41993006,-34.57864841,7.5,22.4,445
14_11_13,-58.41727585,-34.575582,7.5,26.65,376
14_11_14,-58.41911622,-34.57528728,7.5,28.95,218
14_11_2,-58.42276761,-34.57357925,7.5,27.4,553
14_11_3,-58.42089603,-34.57317676,7.5,28.3,243
14_11_4,-58.41965601,-34.57372274,7.5,29.85,304
14_11_5,-58.4208891,-34.57450587,7.5,26.93333333,423
14_11_6,-58.42148765,-34.57541468,7.5,25.3,426
14_11_7,-58.42276458,-34.57634349,7.5,23.35,336
14_11_8,-58.42180089,-34.57684412,7.5,24.85,554
14_11_9,-58.42287285,-34.5779688,7.5,22.96666667,497
14_12_1,-58.42609101,-34.58023644,7.5,21.43333333,251
14_12_10,-58.42328831,-34.58270106,7.5,20.11666667,406
14_12_11,-58.42202698,-34.58168455,7.5,18.11666667,359
14_12_2,-58.4256088,-34.58098993,7.5,23.15,502
14_12_3,-58.4261234,-34.5823202,7.5,24.15,399
14_12_4,-58.42478383,-34.58159882,7.5,22.71666667,373
14_12_5,-58.42378355,-34.58048158,7.5,21.1,450
14_12_6,-58.42286951,-34.58102727,7.5,19.41666667,289
14_12_7,-58.42402404,-34.58211723,7.5,21.36666667,173
14_12_8,-58.42504644,-34.583074,7.5,23.11666667,195
14_12_9,-58.4244253,-34.58360795,7.5,21.95,411
14_13_1,-58.4352019,-34.58793312,13.75,35.25,393
14_13_10,-58.43395667,-34.59053773,13.75,38.36666667,389
14_13_11,-58.43227788,-34.58995337,7.5,38.15,316
14_13_12,-58.43171121,-34.59116844,7.5,35.93333333,303
14_13_2,-58.43025006,-34.58437562,7.5,28.91666667,397
14_13_3,-58.4264989,-34.58376763,7.5,25.08333333,459
14_13_4,-58.42732251,-34.58520945,7.5,26.25,334
14_13_5,-58.42935531,-34.5861261,7.5,29.76666667,375
14_13_6,-58.42858893,-34.58811976,7.5,32.3,326
14_13_7,-58.42991287,-34.58915629,7.5,33.55,206
14_13_8,-58.43144983,-34.58791903,7.5,32.43333333,357
14_13_9,-58.43453225,-34.58931446,13.75,36.86666667,425
14_14_1,-58.42556868,-34.584521,7.5,23.85,522
14_14_10,-58.42076653,-34.58824082,7.5,22.75,373
14_14_11,-58.41976076,-34.58888056,7.5,23.76666667,413
14_14_2,-58.42467741,-34.58521606,7.5,25.16666667,370
14_14_3,-58.42373611,-34.58593783,7.5,26.51666667,419
14_14_4,-58.42515227,-34.58624556,7.5,26.85,223
14_14_5,-58.42599594,-34.58679982,7.5,29.3,232
14_14_6,-58.42706066,-34.58746827,7.5,30.91666667,277
14_14_7,-58.4247886,-34.58796201,7.5,29.3,276
14_14_8,-58.42280735,-34.58666358,7.5,26.08333333,531
14_14_9,-58.42182482,-34.58743448,7.5,24.31666667,622
14_15_1,-58.42352517,-34.58428847,7.5,23.25,418
14_15_2,-58.42238101,-34.58336845,7.5,21.33333333,412
14_15_3,-58.42123067,-34.58244362,7.5,19.33333333,363
14_15_4,-58.42039673,-34.58303808,7.5,20.35,393
14_15_5,-58.42155138,-34.58398217,7.5,22.35,544
14_15_6,-58.42253421,-34.5850264,7.5,24.71666667,528
14_15_7,-58.42081253,-34.58447403,7.5,23.48333333,370
14_15_8,-58.41918436,-34.58387478,7.5,20.36666667,949
14_16_1,-58.4160454,-34.57934735,7.5,26.03333333,610
14_16_2,-58.41435332,-34.5803511,7.5,25.1,411
14_16_3,-58.4137418,-34.57941409,7.5,26.65,538
14_16_4,-58.41302896,-34.57833154,7.5,28.35,479
14_16_5,-58.41226166,-34.57716865,7.5,30.15,431
14_16_6,-58.41113527,-34.57764871,7.5,28.91666667,119
14_16_7,-58.41187688,-34.57876723,7.5,27.3,362
14_17_1,-58.4137994,-34.58164284,7.5,22.5,365
14_17_2,-58.41283581,-34.58021349,7.5,25.73333333,473
14_17_3,-58.41238782,-34.58144862,7.5,23.6,378
14_17_4,-58.41155006,-34.58015393,7.5,25.98333333,222
14_17_5,-58.41091018,-34.57914151,7.5,27.4,391
14_17_6,-58.40955105,-34.57832392,7.5,28.23333333,332
14_17_7,-58.40994405,-34.58007786,7.5,25.9,378
14_17_8,-58.41094117,-34.58170151,7.5,23.21666667,635
14_18_1,-58.41699733,-34.58307666,7.5,18.91666667,392
14_18_2,-58.41461187,-34.58436274,7.5,17.38333333,349
