CO_FRAC_RA,x,y,plata,tiemposMin,POB
1_4_1,-58.38322083,-34.58906137,0,27.06666667,759
1_4_2,-58.3816593,-34.58980725,6.25,25.76666667,593
1_4_3,-58.38227257,-34.59124368,7.5,19.96666667,589
1_4_4,-58.38407312,-34.59024783,0,28.95,671
1_4_5,-58.38533719,-34.59107598,6.25,31.35,453
1_4_6,-58.38435063,-34.59194637,7.5,20.88333333,573
1_4_7,-58.38524653,-34.59278728,7.5,20.53333333,623
1_4_8,-58.38648228,-34.59227039,7.5,20.93333333,560
1_22_1,-58.37949074,-34.61913314,7.5,12.8,314
1_22_10,-58.37704991,-34.62491307,7.5,17.88333333,671
1_22_2,-58.37742787,-34.61846563,7.5,13.55,436
1_22_3,-58.3774059,-34.61957998,7.5,15.1,479
1_22_4,-58.3773652,-34.62075158,7.5,17.05,241
1_22_5,-58.37970826,-34.62119954,7.5,14.46666667,231
1_22_6,-58.37874404,-34.6219575,7.5,13.56666667,291
1_22_7,-58.37733819,-34.62192735,7.5,15.23333333,335
1_22_8,-58.37794711,-34.62329646,7.5,14.9,294
1_22_9,-58.37934122,-34.62476185,7.5,14.43333333,447
1_23_1,-58.37603745,-34.61784909,7.5,16.03333333,339
1_23_10,-58.37595846,-34.61957666,6,24.63333333,193
1_23_2,-58.37453621,-34.61836505,6.25,18.78333333,302
1_23_3,-58.37461356,-34.61717212,6.25,18.03333333,448
1_23_4,-58.37320239,-34.61707493,6.25,19.05,213
1_23_5,-58.37179535,-34.61705158,6.25,19,272
1_23_6,-58.37175574,-34.61828743,6.25,19.26666667,230
1_23_7,-58.37312407,-34.61830034,6.25,20.43333333,333
1_23_8,-58.37237516,-34.61949672,6.25,21.66666667,337
1_23_9,-58.37448121,-34.61955196,6.25,19.46666667,475
1_24_1,-58.36996923,-34.61670207,6.25,17.56666667,137
1_24_2,-58.36812475,-34.6169419,6.25,17.83333333,164
1_24_3,-58.36805201,-34.61847983,6,20.43333333,314
1_24_4,-58.37025532,-34.61939676,6.25,22.03333333,187
1_24_5,-58.36903845,-34.6193215,6.25,20.93333333,176
1_24_6,-58.36861749,-34.62094657,6.25,21.03333333,371
1_24_7,-58.36651032,-34.62294148,6.25,24.83333333,313
1_24_8,-58.36830884,-34.62452569,6.25,23.91666667,255
1_25_1,-58.372977,-34.62063711,6.25,23.08333333,239
1_25_10,-58.37268667,-34.62601282,6.25,25.88333333,269
1_25_11,-58.36941991,-34.62713168,6.5,30.66666667,283
1_25_2,-58.37153998,-34.62116389,6.25,21.93333333,222
1_25_3,-58.37003479,-34.62170287,6.25,23.63333333,239
1_25_4,-58.37143881,-34.62292561,6.25,26.93333333,457
1_25_5,-58.37288545,-34.62242099,6,26.98333333,234
1_25_6,-58.37205261,-34.62418171,6.5,27.9,387
1_25_7,-58.36989475,-34.62403583,6.25,25.11666667,230
1_25_8,-58.36984522,-34.62520754,6.5,29.23333333,306
1_25_9,-58.37130149,-34.62529863,6.5,28.2,335
1_26_1,-58.37591284,-34.62073349,7.5,18.9,384
1_26_2,-58.37442448,-34.62068162,6,23.7,360
1_26_3,-58.37434291,-34.62182673,6,25.05,243
1_26_4,-58.3758611,-34.6218994,7.5,16.88333333,286
1_26_5,-58.37572231,-34.62385795,7.5,18.21666667,363
1_26_6,-58.37427756,-34.62309399,6,25.43333333,222
1_26_7,-58.3741947,-34.6243594,6.25,26.2,148
1_26_8,-58.37471011,-34.6256706,6.25,24.96666667,202
1_26_9,-58.37436119,-34.62679533,6.25,27.03333333,350
1_27_1,-58.38299703,-34.62768966,7.5,16.18333333,291
1_27_10,-58.37647996,-34.62640265,7.5,19.71666667,253
1_27_2,-58.384824,-34.62819518,7.5,18.33333333,469
1_27_3,-58.38497282,-34.62962043,7.5,20.8,457
1_27_4,-58.38421546,-34.63170515,7.5,22.58333333,447
1_27_5,-58.38280111,-34.63198319,7.5,21.75,310
1_27_6,-58.38287369,-34.62990232,7.5,18.66666667,556
1_27_7,-58.38147615,-34.63002432,7.5,19,498
1_27_8,-58.37914558,-34.62953975,7.5,18.26666667,353
1_27_9,-58.37813495,-34.62714006,7.5,17.66666667,381
1_28_1,-58.38872072,-34.62370404,7.5,17.96666667,253
1_28_10,-58.38488791,-34.6265507,7.5,17.38333333,499
1_28_11,-58.38588382,-34.62592381,7.5,19.75,351
1_28_12,-58.38717415,-34.62597707,7.5,19.63333333,306
1_28_13,-58.38901154,-34.62682635,7.5,22.31666667,340
1_28_2,-58.38996412,-34.62501728,7.5,19.66666667,428
1_28_3,-58.38802894,-34.62527615,7.5,19.96666667,374
1_28_4,-58.38589632,-34.62407163,7.5,15.41666667,285
1_28_5,-58.38366975,-34.62349434,7.5,16.75,421
1_28_6,-58.38448994,-34.62458375,7.5,16.68333333,323
1_28_7,-58.38192221,-34.62407465,7.5,17.36666667,384
1_28_8,-58.3811548,-34.62619467,7.5,16.1,164
1_28_9,-58.3830286,-34.62629162,7.5,15.93333333,455
1_29_1,-58.3896305,-34.62865027,7.5,24.95,620
1_29_2,-58.3876761,-34.62846035,7.5,21.41666667,346
1_29_3,-58.38687815,-34.62985696,7.5,22.4,435
1_29_4,-58.38795305,-34.63060558,7.5,24.46666667,384
1_29_5,-58.38936914,-34.63077701,6.25,35.18333333,432
1_29_6,-58.38857735,-34.63244317,6.5,32.73333333,572
1_29_7,-58.38855139,-34.63364155,6.5,31.96666667,414
1_29_8,-58.38664357,-34.63215801,6.5,30.93333333,344
1_29_9,-58.38551408,-34.63190578,6.5,29.55,443
1_5_1,-58.38240395,-34.59264481,7.5,19.03333333,263
1_5_2,-58.38246476,-34.59403252,7.5,17.28333333,252
1_5_3,-58.38465274,-34.59406499,7.5,17.98333333,527
1_5_4,-58.38612168,-34.59419099,7.5,17.33333333,509
1_5_5,-58.38590082,-34.59559851,7.5,15.68333333,323
1_5_6,-58.38446854,-34.59551636,7.5,15.83333333,429
1_5_7,-58.38235254,-34.59535184,7.5,15.33333333,305
1_6_1,-58.38011537,-34.59162005,7.5,16.56666667,433
1_6_10,-58.38016032,-34.59515813,7.5,12,180
1_6_2,-58.37886329,-34.59270154,7.5,13.35,281
1_6_3,-58.37837605,-34.59162415,7.5,15.26666667,536
1_6_4,-58.37707293,-34.59259654,7.5,14.08333333,412
1_6_5,-58.37567045,-34.59299433,7.5,12.3,180
1_6_6,-58.37680029,-34.59421524,7.5,12,243
1_6_7,-58.37865567,-34.59508312,7.5,10.4,225
1_6_8,-58.37871742,-34.59393602,7.5,11.6,365
